Sample ID,Site,Type,Datetime,Baseflow,Soil water lysimeter ave,Snowmelt lysimeter ave,Sum Fractions
RI23-1005,Hungerford,Grab/Isco,2023-02-10 10:00:00,0.4058211926075243,0.4952029390361949,0.09897586835628082,1.0
RI23-1007,Hungerford,Grab/Isco,2023-02-10 16:00:00,1.4609816595718868e-13,0.3497002016552416,0.6502997983446123,1.0
RI23-1008,Hungerford,Grab/Isco,2023-02-11 12:30:00,0.05498985355810945,0.8504843414878127,0.09452580495407792,1.0
RI23-1027,Hungerford,Grab/Isco,2023-02-16 10:30:00,0.10066433129747088,0.8993356687025292,-7.786123502306207e-17,0.9999999999999999
RI23-1033,Hungerford,Grab/Isco,2023-02-17 13:30:00,0.07815598263474102,0.3920797386285979,0.5297642787366611,1.0
RI23-1001,Hungerford,Baseflow,2023-02-09 13:40:00,0.9999999999999973,1.1657341758564144e-15,1.27675647831893e-15,0.9999999999999998
RI23-1002,Hungerford,Grab/Isco,2023-02-09 16:00:00,0.9999999999999947,3.7192471324942744e-15,1.609823385706477e-15,1.0
RI23-1003,Hungerford,Grab/Isco,2023-02-09 22:00:00,0.999999999999996,3.497202527569243e-15,7.216449660063518e-16,1.0000000000000002
RI23-1035,Hungerford,Baseflow,2023-03-22 15:00:00,0.9656350344723188,1.3222205852031318e-15,0.03436496552767998,1.0
RI23-1036,Hungerford,Grab/Isco,2023-03-22 18:00:00,0.8771167490033288,-7.608191617967629e-16,0.12288325099667183,0.9999999999999999
RI23-1037,Hungerford,Grab/Isco,2023-03-23 00:00:00,0.3754627500747974,-2.113652135260491e-15,0.6245372499252047,1.0
RI23-1038,Hungerford,Grab/Isco,2023-03-23 06:00:00,0.42737705696731865,1.816634950108087e-14,0.5726229430326631,1.0
RI23-1042,Hungerford,Grab/Isco,2023-03-23 12:00:00,0.5876107213555227,0.021093659327555886,0.39129561931692136,1.0
RI23-1043,Hungerford,Grab/Isco,2023-03-23 18:00:00,0.14691001183536515,0.19735766787075615,0.6557323202938787,1.0
RI23-1044,Hungerford,Grab/Isco,2023-03-24 00:00:00,-4.751289376543393e-13,0.46660413127620626,0.5333958687242688,1.0
RI23-1045,Hungerford,Grab/Isco,2023-03-24 06:00:00,-1.6962305056665715e-13,0.9713295569413252,0.028670443058844246,0.9999999999999998
RI23-1046,Hungerford,Grab/Isco,2023-03-24 12:00:00,6.030340914495948e-14,0.8447702233388794,0.15522977666106033,1.0
RI23-1047,Hungerford,Grab/Isco,2023-03-24 15:45:00,2.061611635289883e-15,0.806495790586969,0.19350420941302895,1.0
RI23-1085,Hungerford,Baseflow,2023-03-31 14:00:00,0.350438911029383,0.33833001364115833,0.31123107532945865,1.0
RI23-1086,Hungerford,Grab/Isco,2023-03-31 20:00:00,0.25833302466638064,0.2792197574568249,0.46244721787679444,1.0
RI23-1087,Hungerford,Grab/Isco,2023-04-01 02:00:00,0.294882532521705,0.13600754807477775,0.5691099194035173,1.0
RI23-1088,Hungerford,Grab/Isco,2023-04-01 08:00:00,0.32994788150551446,0.10123459323242166,0.5688175252620639,1.0
RI23-1089,Hungerford,Grab/Isco,2023-04-01 14:00:00,0.268249951816527,0.3977133446460138,0.3340367035374592,1.0
RI23-1099,Hungerford,Grab/Isco,2023-04-11 13:30:00,0.2787238328331467,7.0898148463172106e-15,0.7212761671668463,1.0
RI23-1091,Hungerford,Grab/Isco,2023-04-02 02:00:00,1.7168545721751155e-13,0.607795087498801,0.39220491250102735,1.0
