RI24-ID,Bag #
RI24-1094,10
RI24-1095,10
RI24-1096,10
RI24-1097,10
RI24-1097,10
RI24-1098,10
RI24-1099,10
RI24-1100,10
RI24-1100,10
RI24-1127,10
RI24-1127,10
RI24-1128,10
RI24-1128,10
RI24-1129,10
RI24-1129,10
RI24-1130,10
RI24-1131,10
RI24-1132,10
RI24-1133,10
RI24-1134,10
RI24-1135,10
RI24-1136,10
RI24-1137,12
RI24-1138,12
RI24-1139,12
RI24-1140,12
RI24-1153,12
RI24-1153,12
RI24-1154,12
RI24-1154,12
RI24-1155,12
RI24-1156,12
RI24-1157,12
RI24-1158,12
RI24-1159,12
RI24-1160,12
RI24-1161,12
RI24-1162,12
RI24-1163,12
RI24-1164,12
RI24-1165,12
RI24-1166,12
RI24-1167,9
RI24-1168,9
RI24-1169,9
RI24-1170,9
RI24-1171,9
RI24-1172,9
RI24-1173,9
RI24-1174,9
RI24-1175,9
RI24-1176,9
RI24-1177,9
RI24-1178,9
RI24-1179,9
RI24-1180,9
RI24-1181,9
RI24-1182,9
RI24-1183,9
RI24-1184,9
RI24-1185,9
RI24-1186,9
RI24-1187,9
RI24-1188,9
RI24-1189,7
RI24-1190,7
RI24-1193,7
RI24-1194,7
RI24-1195,7
RI24-1196,7
RI24-1197,7
RI24-1198,7
RI24-1199,7
RI24-1200,7
RI24-1203,8
RI24-1203,8
RI24-1204,7
RI24-1205,7
RI24-1206,7
RI24-1207,7
RI24-1208,7
RI24-1209,7
RI24-1210,7
RI24-1210,7
RI24-1212,5
RI24-1213,5
RI24-1214,8
RI24-1215,8
RI24-1216,8
RI24-1217,8
RI24-1218,8
RI24-1219,8
RI24-1220,8
RI24-1221,5
RI24-1222,8
RI24-1223,8
RI24-1224,8
RI24-1225,8
RI24-1226,8
RI24-1227,8
RI24-1228,8
RI24-1229,8
RI24-1230,8
RI24-1232,11
RI24-1233,11
RI24-1234,11
RI24-1235,11
RI24-1236,11
RI24-1237,11
RI24-1238,11
RI24-1239,11
RI24-1240,11
RI24-1240,11
RI24-1241,3
RI24-1241,3
RI24-1242,3
RI24-1242,3
RI24-1243,3
RI24-1243,3
RI24-1244,3
RI24-1244,3
RI24-1245,3
RI24-1245,3
RI24-1246,3
RI24-1246,3
RI24-1247,3
RI24-1247,3
RI24-1248,3
RI24-1248,3
RI24-1249,3
RI24-1249,3
RI24-1250,4
RI24-1250,4
RI24-1251,4
RI24-1252,4
RI24-1253,4
RI24-1254,4
RI24-1255,4
RI24-1256,4
RI24-1257,4
RI24-1258,4
RI24-1259,4
RI24-1260,4
RI24-1261,4
RI24-1262,4
RI24-1263,4
RI24-1264,4
RI24-1265,4
RI24-1266,4
RI24-1266,4
RI24-1267,15
RI24-1268,15
RI24-1269,14
RI24-1270,14
RI24-1271,14
RI24-1272,14
RI24-1273,14
RI24-1274,14
RI24-1275,14
RI24-1276,14
RI24-1277,14
RI24-1277,14
RI24-1278,14
RI24-1279,14
RI24-1280,14
RI24-1281,14
RI24-1282,14
RI24-1283,14
RI24-1284,14
RI24-1285,14
RI24-1285,14
RI24-1286,14
RI24-1318,15
RI24-1319,15
RI24-1320,15
RI24-1321,15
RI24-1322,15
RI24-1323,15
RI24-1324,15
RI24-1325,15
RI24-1326,15
RI24-1327,15
RI24-1328,15
RI24-1329,16
RI24-1330,16
RI24-1330,16
RI24-1331,18
RI24-1332,18
RI24-1333,18
RI24-1334,18
RI24-1335,18
RI24-1336,18
RI24-1337,18
RI24-1339,18
RI24-1340,18
RI24-1341,18
RI24-1342,18
RI24-1343,16
RI24-1343,16
RI24-1344,20
RI24-1345,19
RI24-1346,20
RI24-1347,21
RI24-1348,21
RI24-1349,21
RI24-1350,21
RI24-1351,21
RI24-1352,21
RI24-1353,21
RI24-1354,21
RI24-1355,21
RI24-1356,21
RI24-1357,21
RI24-1358,21
RI24-1359,21
RI24-1360,21
RI24-1361,21
RI24-1362,21
RI24-1363,21
RI24-1364,21
RI24-1365,21
RI24-1366,21
RI24-1367,21
RI24-1368,21
RI24-1369,21
RI24-1370,19
RI24-1370,19
RI24-1370,9
RI24-1371,20
RI24-1372,20
RI24-1373,20
RI24-1374,20
RI24-1375,20
RI24-1376,20
RI24-1377,20
RI24-1378,20
RI24-1379,20
RI24-1380,20
RI24-1381,20
RI24-1382,20
RI24-1383,20
RI24-1384,20
RI24-1385,20
RI24-1386,20
RI24-1387,20
RI24-1388,20
RI24-1389,20
RI24-1390,20
RI24-1391,19
RI24-1391,20
RI24-1392,19
RI24-1392,20
RI24-1392,20
RI24-1393,19
RI24-1394,19
RI24-1395,19
RI24-1396,19
RI24-1397,19
RI24-1398,19
RI24-1399,19
RI24-1400,19
RI24-1401,19
RI24-1402,19
RI24-1403,19
RI24-1404,19
RI24-1405,19
RI24-1406,19
RI24-1407,19
RI24-1408,19
RI24-1409,19
RI24-1410,19
RI24-1411,19
RI24-1412,5
RI24-1415,1
RI24-1416,1
RI24-1417,1
RI24-1418,1
RI24-1419,1
RI24-1420,1
RI24-1421,1
RI24-1422,1
RI24-1423,1
RI24-1061,24
RI24-1049,24
RI24-1058,24
RI24-1057,24
RI24-1048,24
RI24-1060,24
RI24-1047,24
RI24-1051,24
RI24-1059,24
RI24-1054,24
RI24-1053,24
RI24-1062,24
RI24-1052,24
RI24-1055,24
RI24-1050,24
RI24-1056,24
RI24-1046,24
RI24-1068,25
RI24-1069,25
RI24-1067,25
RI24-1074,25
RI24-1070,25
RI24-1065,25
RI24-1071,25
RI24-1073,25
RI24-1072,25
RI24-1066,25
RI24-1075,25
RI24-1064,25
RI24-1063,25
RI24-1102,26
RI24-1105,26
RI24-1103,26
RI24-1088,26
RI24-1101,26
RI24-1107,26
RI24-1106,26
RI24-1110,26
RI24-1090,26
RI24-1111,26
RI24-1088,26
RI24-1104,26
RI24-1112,26
RI24-1108,26
RI24-1089,26
RI24-1113,26
RI24-1109,26
RI24-1113,26
RI24-1112,26
RI24-1126,27
RI24-1123,27
RI24-1125,27
RI24-1125,27
RI24-1121,27
RI24-1124,27
RI24-1122,27
RI24-1120,27
RI24-1126,27
RI24-1003,28
RI24-1002,28
RI24-1004,28
RI24-1005,28
RI24-1007,28
RI24-1006,28
RI24-1001,28
RI24-1015,29
RI24-1022,29
RI24-1027,29
RI24-1023,29
RI24-1030,29
RI24-1025,29
RI24-1032,29
RI24-1033,29
RI24-1017,29
RI24-1031,29
RI24-1016,29
RI24-1019,29
RI24-1020,29
RI24-1028,29
RI24-1018,29
RI24-1029,29
RI24-1024,29
RI24-1021,29
RI24-1026,29
RI24-1034,29
RI24-?,30
RI24-?,30
RI24-1091,30
RI24-1093,30
RI24-1093,30
RI24-1092,30
RI24-1118,31
RI24-1119,31
RI24-1117,31
RI24-1119,31
RI24-1114,31
RI24-1115,31
RI24-1116,31
RI24-1288,32
RI24-1295,32
RI24-1294,32
RI24-1287,32
RI24-1293,32
RI24-1290,32
RI24-1288,32
RI24-1292,32
RI24-1301,32
RI24-1297,32
RI24-1298,32
RI24-1291,32
RI24-1289,32
RI24-1296,32
RI24-1299,32
RI24-1300,32
